id,text,latency_s,audio_duration_s,rtf,prompt_tokens,completion_tokens,output_token_rate,audio_ttfp_s,audio_chunk_count,first_audio_payload_bytes,is_success,error
common_voice_en_167249-common_voice_en_167246,what is the forecast for California for rain,11.5456,4.4400,2.6003,,,,3.9151,3,40320,True,
common_voice_en_167249-common_voice_en_167247,Take these capsules over to Mrs. David's house.,11.4954,3.8000,3.0250,,,,3.3786,3,40320,True,
common_voice_en_17147545-common_voice_en_17147546,"Lions hunt their prey with sprints, whereas wolves take adva",10.9531,5.8800,1.8627,,,,2.5800,3,40320,True,
common_voice_en_17161-common_voice_en_17159,He must be disguised to avoid encounters with thieves.,10.9093,3.4000,3.2085,,,,2.0798,3,40320,True,
common_voice_en_17161-common_voice_en_17160,The area was swirling in dust so intense that it hid the moo,10.8502,4.6400,2.3383,,,,1.5073,3,40320,True,
common_voice_en_17249419-common_voice_en_17249428,"I heard the land where the hobbits live, the Shire, has actu",10.8928,5.9200,1.8399,,,,1.2940,3,40320,True,
common_voice_en_17255102-common_voice_en_17255101,"The salesman was like the rest of them, untrustworthy.",9.2275,4.4000,2.0971,,,,0.9319,3,40320,True,
common_voice_en_17256676-common_voice_en_17256678,"To her amazement, she found a supermarket trolley lying on t",8.9589,4.1200,2.1744,,,,0.7537,3,40320,True,
common_voice_en_17259121-common_voice_en_17259122,"This pepperoni tastes off, she said.",10.1889,4.3200,2.3585,,,,8.5975,3,40320,True,
common_voice_en_17263752-common_voice_en_17263750,"Try to make eye contact with a stranger on the bus, and hold",17.7037,7.1200,2.4864,,,,8.0411,4,40320,True,
common_voice_en_17263752-common_voice_en_17263755,"Spain is producing lots of lettuce, paprika and tomatoes.",9.9773,4.0000,2.4942,,,,7.3673,3,40320,True,
common_voice_en_17263780-common_voice_en_17263781,"The more you read, the better you will be understood.",9.8609,3.1200,3.1605,,,,6.8011,3,40320,True,
common_voice_en_17263780-common_voice_en_17263782,"If my stepfather sold this old sculpture, he'd probably beco",9.8126,5.0000,1.9624,,,,6.2481,3,40320,True,
common_voice_en_17267923-common_voice_en_17267922,Can we please leave now?,7.1014,1.8800,3.7772,,,,5.7501,2,40320,True,
common_voice_en_17268075-common_voice_en_17268076,"Contrary to common belief, children won't gain computer lite",15.6309,7.2000,2.1709,,,,5.3135,4,40320,True,
common_voice_en_17271507-common_voice_en_17271509,"Regarding your request, I have decided to heed your warnings",8.6711,4.1200,2.1046,,,,4.7853,3,40320,True,
common_voice_en_17271507-common_voice_en_17271510,"It was such a thrill, her veins were pumped full of adrenali",8.3710,3.8800,2.1574,,,,4.0843,3,40320,True,
common_voice_en_17274522-common_voice_en_17274523,"Nora finds herself ugly, because she has pimples.",8.3711,4.0000,2.0927,,,,3.5979,3,40320,True,
common_voice_en_17274522-common_voice_en_17274525,"Ninety five lines and no more, that's it.",8.7136,3.2800,2.6565,,,,3.3407,3,40320,True,
common_voice_en_17274533-common_voice_en_17274531,"If possible, we'd like the papers a week before and after ea",8.7260,5.9200,1.4739,,,,2.8843,3,40320,True,
common_voice_en_17275818-common_voice_en_17275816,"Television can make you dumb, but it can also be good educat",8.7705,3.6800,2.3832,,,,2.3709,3,40320,True,
common_voice_en_17275818-common_voice_en_17275817,"Ladies and gentlemen, this wagon is going to be detached.",8.8460,4.2400,2.0863,,,,1.7976,3,40320,True,
common_voice_en_17277080-common_voice_en_17277082,"Three weeks later, he was feeling a lot better.",8.6030,3.7200,2.3126,,,,1.3432,3,40320,True,
common_voice_en_17277080-common_voice_en_17277083,"Little thieves are hanged, but great ones escape.",8.5908,3.3200,2.5875,,,,1.0653,3,40320,True,
common_voice_en_17278904-common_voice_en_17278905,"With skin and hair completely, thoroughly out and out.",7.3788,4.6800,1.5766,,,,1.0288,3,40320,True,
common_voice_en_17278904-common_voice_en_17278909,"This part of the town was half residential, half industrial.",7.6707,3.7600,2.0400,,,,0.7905,3,40320,True,
common_voice_en_17281385-common_voice_en_17281386,"As he couldn't prove his innocence, he was brought to the de",12.1726,6.7200,1.8113,,,,8.6873,3,40320,True,
common_voice_en_17281385-common_voice_en_17281393,"Lifeguards were standing on a tower, staring at the water.",12.2153,5.0000,2.4430,,,,8.2365,3,40320,True,
common_voice_en_17288057-common_voice_en_17288056,Where did that come from?,8.9589,1.4000,6.3990,,,,7.7318,2,40320,True,
common_voice_en_17288057-common_voice_en_17288059,Did you really think it through?,9.2032,1.9600,4.6954,,,,7.4096,2,40320,True,
common_voice_en_17324784-common_voice_en_17324785,"Despite years of research, the problem remained intractable.",11.5701,3.9600,2.9217,,,,7.0087,3,40320,True,
common_voice_en_17324784-common_voice_en_17324786,"As independent studies document, the Neanderthals developed ",11.6111,6.0800,1.9097,,,,6.5223,3,40320,True,
common_voice_en_17347410-common_voice_en_17347409,"Worryingly, the radio signal became weaker.",11.3617,5.0000,2.2723,,,,5.9232,3,40320,True,
common_voice_en_17352169-common_voice_en_17352173,This swallow is twittering without Internet connection and h,16.9809,8.5200,1.9930,,,,5.4544,4,40320,True,
common_voice_en_173534-common_voice_en_173537,Strip down the rig until you know exactly where the error is,11.1148,4.5200,2.4589,,,,4.8964,3,40320,True,
common_voice_en_173534-common_voice_en_173540,"I like the avenger of the new episode, he really is a badass",10.9809,4.2800,2.5656,,,,4.2476,3,40320,True,
common_voice_en_17369337-common_voice_en_17369336,Does the new splinter cell game come with a multiplayer mode,10.8625,4.0000,2.7155,,,,3.7330,3,40320,True,
common_voice_en_17369851-common_voice_en_17369849,Do you know what they're up to?,5.8295,2.8400,2.0525,,,,3.4671,2,40320,True,
common_voice_en_17375252-common_voice_en_17375256,"With skin and hair completely, thoroughly out and out.",10.3185,4.3600,2.3665,,,,2.5675,3,40320,True,
common_voice_en_17380945-common_voice_en_17380947,"Sooner or later, they'll find out how to read these hierogly",10.3838,4.7200,2.1999,,,,2.0372,3,40320,True,
common_voice_en_17389076-common_voice_en_17389120,Can you do your babysitting from outside my office?,10.4969,3.4400,3.0513,,,,1.6369,3,40320,True,
common_voice_en_17389984-common_voice_en_17389987,"Never advertise razors by shaving a monkey, it's cruel and r",10.4196,5.1600,2.0192,,,,1.2191,3,40320,True,
common_voice_en_17389984-common_voice_en_17389988,"Technically, breaking a mirror is not five years, but seven ",8.9477,5.2000,1.7206,,,,1.5900,3,40320,True,
common_voice_en_17401431-common_voice_en_17401433,"Well, this exactly happens in an old story from Norwegia.",8.7096,4.6400,1.8770,,,,1.0236,3,40320,True,
common_voice_en_17406452-common_voice_en_17406455,"Yeah, I had a bit of a poke at that and failed to work out w",8.7008,3.8400,2.2658,,,,0.7512,3,40320,True,
common_voice_en_17406452-common_voice_en_17406466,"When you're at a party and somebody says ""banana bread"", a s",12.1805,4.8800,2.4959,,,,8.7356,3,40320,True,
common_voice_en_17406732-common_voice_en_17406734,"They both stormed out, neither thinking to fill me in on whe",12.1737,6.4400,1.8903,,,,8.2421,3,40320,True,
common_voice_en_17406732-common_voice_en_17406735,"When you're at a party and somebody says ""banana bread"", a s",11.9615,5.0000,2.3922,,,,7.6593,3,40320,True,
common_voice_en_17429166-common_voice_en_17429168,Will no one go?,8.2902,1.6000,5.1812,,,,7.1321,2,40320,True,
common_voice_en_17429166-common_voice_en_17429171,"One key is for encryption, the other one for decryption.",11.5038,4.9200,2.3381,,,,6.7819,3,40320,True,
common_voice_en_17442686-common_voice_en_17442688,Do the roses compete in athletic events?,7.4222,2.6800,2.7694,,,,6.0019,2,40320,True,
common_voice_en_17444666-common_voice_en_17444667,"He paused, looked back at the house, but then pocketed the k",10.8873,7.0400,1.5464,,,,5.4870,3,40320,True,
common_voice_en_17444666-common_voice_en_17444668,"To summarize, our comprehensive survey discloses the true ve",11.0369,5.3200,2.0745,,,,5.0928,3,40320,True,
common_voice_en_17451108-common_voice_en_17451109,"He always stutters when he's nervous, that's why he delegate",10.8317,5.4000,2.0058,,,,4.4712,3,40320,True,
common_voice_en_17502-common_voice_en_17503,Songs are made to make you feel.,10.5667,3.7200,2.8404,,,,3.8757,3,40320,True,
common_voice_en_17519982-common_voice_en_17519985,"Real schools, secondary schools giving a general practical e",10.5091,4.5600,2.3046,,,,3.3622,3,40320,True,
common_voice_en_17519982-common_voice_en_17519988,"Well, you shouldn't have any trouble then.",4.7380,2.8400,1.6682,,,,2.7840,2,40320,True,
common_voice_en_175348-common_voice_en_175349,"Any edition is fine, and I use the premium edition.",9.7749,4.0400,2.4195,,,,2.0501,3,40320,True,
common_voice_en_175348-common_voice_en_175350,"If you just read the code, you'll miss out on why I made cer",10.0166,4.8800,2.0525,,,,1.7218,3,40320,True,
common_voice_en_17578783-common_voice_en_17578780,"Come on, just stop thinking about it.",3.6589,2.1600,1.6938,,,,1.1603,2,40320,True,
common_voice_en_17578783-common_voice_en_17578781,Did the president just lie again?,3.6664,2.2800,1.6080,,,,0.9346,2,40320,True,
common_voice_en_17662945-common_voice_en_17662954,"When the carpet and the curtains caught fire, it was getting",11.3853,4.8000,2.3719,,,,8.0507,3,40320,True,
common_voice_en_17662945-common_voice_en_17662956,"The results of the test were inconclusive, and it has not be",11.6596,5.7200,2.0383,,,,7.7884,3,40320,True,
common_voice_en_17718576-common_voice_en_17718578,There was no replacement for armed forces lost in the fight.,11.5712,4.1600,2.7815,,,,7.2513,3,40320,True,
common_voice_en_17727889-common_voice_en_17727904,The logs fell and tumbled into the clear stream.,11.3965,3.9200,2.9072,,,,6.7071,3,40320,True,
common_voice_en_17727889-common_voice_en_17727905,My grandmother has Type One diabetes.,11.4686,3.2400,3.5396,,,,6.2371,3,40320,True,
common_voice_en_17729945-common_voice_en_17729943,I'm going with Clara to buy some pillows and bolsters.,6.9604,2.6800,2.5971,,,,5.7664,2,40320,True,
common_voice_en_17729945-common_voice_en_17729944,The loss exposed the city to foreign attackers.,7.0826,2.4800,2.8558,,,,5.2797,2,40320,True,
common_voice_en_17736608-common_voice_en_17736610,"Little thieves are hanged, but great ones escape.",10.5465,3.9200,2.6904,,,,4.9091,3,40320,True,
common_voice_en_17738848-common_voice_en_17744571,"For a long time, the city's downfall was attributed to its s",10.6898,4.9600,2.1551,,,,4.4890,3,40320,True,
common_voice_en_17738848-common_voice_en_19083939,It is also used as an initial ingredient in homeopathic reme,10.4538,4.6800,2.2336,,,,3.8104,3,40320,True,
common_voice_en_17781154-common_voice_en_17781153,Keep the hatch tight and the watch constant.,5.5953,2.5600,2.1856,,,,3.2646,2,40320,True,
common_voice_en_17784-common_voice_en_17785,Then why should they be surprised when they see one?,5.6832,2.9200,1.9462,,,,2.8481,2,40320,True,
common_voice_en_17784-common_voice_en_17786,The virus spread faster than wildfire.,9.7913,3.8800,2.5234,,,,2.5176,3,40320,True,
common_voice_en_177895-common_voice_en_177894,A dog with a water pack is walking through clear green water,10.9040,7.3600,1.4815,,,,2.0624,4,40320,True,
common_voice_en_177895-common_voice_en_177898,A man is taking a look at the food products.,9.5163,5.6800,1.6753,,,,1.4838,3,40320,True,
common_voice_en_17817002-common_voice_en_17817003,"For a long time, the city's downfall was attributed to its s",9.2800,4.6400,1.9999,,,,1.1670,3,40320,True,
common_voice_en_17817002-common_voice_en_17817005,The famous Mona Lisa painting was painted by Leonardo Da Vin,13.1198,5.5200,2.3767,,,,8.4062,3,40320,True,
common_voice_en_17830764-common_voice_en_17830762,Are they twins or just normal siblings?,8.7048,2.9600,2.9407,,,,7.7972,2,40320,True,
common_voice_en_17830764-common_voice_en_17830783,"Today, people in the city are very thankful for this fact.",12.3292,3.8400,3.2106,,,,7.2690,3,40320,True,
common_voice_en_17837104-common_voice_en_17837105,The light danced across the lake.,8.1345,2.0400,3.9873,,,,6.7649,2,40320,True,
common_voice_en_17851231-common_voice_en_17851248,Lush ferns grow on the lofty rocks.,8.1837,3.0400,2.6919,,,,6.2681,2,40320,True,
common_voice_en_17851231-common_voice_en_17851256,A rich farm is rare in this sandy waste.,8.1271,2.7600,2.9445,,,,5.7314,2,40320,True,
common_voice_en_17854896-common_voice_en_17854894,To wish one well To wish one ill.,8.0465,2.9200,2.7555,,,,5.2829,2,40320,True,
common_voice_en_17854896-common_voice_en_17854897,Verify the contents of the website.,10.6064,3.3600,3.1566,,,,4.9152,3,40320,True,
common_voice_en_17861335-common_voice_en_17861337,"It changes color when you say the words ""blue sponge"".",10.4095,3.8000,2.7393,,,,4.3737,3,40320,True,
common_voice_en_17861489-common_voice_en_17861487,Not to know how to sign one's name.,7.0879,2.5600,2.7686,,,,3.9670,2,40320,True,
common_voice_en_17874600-common_voice_en_17874601,An automobile will arrive at the end of the alley in half an,9.9993,6.0400,1.6554,,,,3.4036,3,40320,True,
common_voice_en_17874600-common_voice_en_17874602,"Without understanding the actual physics, some animals explo",11.3263,7.8400,1.4446,,,,2.9611,4,40320,True,
common_voice_en_17875915-common_voice_en_17875925,The grass is always greener on the other side of the fence.,9.6884,4.1200,2.3515,,,,2.3305,3,40320,True,
common_voice_en_17879420-common_voice_en_17879418,Every cloud has a silver lining.,9.3505,3.6000,2.5973,,,,1.5709,3,40320,True,
common_voice_en_17879420-common_voice_en_17879438,The irrigation system will be fixed within a week.,4.7728,2.9200,1.6344,,,,1.2372,2,40320,True,
common_voice_en_17880926-common_voice_en_17880932,A rich farm is rare in this sandy waste.,4.8958,3.0000,1.6319,,,,0.9911,2,40320,True,
common_voice_en_17889905-common_voice_en_17889907,"For most owners of the car model, the issue isn't noticeable",11.5797,4.0400,2.8662,,,,8.3415,3,40320,True,
common_voice_en_17893247-common_voice_en_17893246,We strolled along the promenade and through the mall.,11.4483,3.1200,3.6692,,,,7.8792,3,40320,True,
common_voice_en_17893247-common_voice_en_17893250,"For a start, we both know that I have it.",11.6555,3.5600,3.2739,,,,7.3331,3,40320,True,
common_voice_en_17899910-common_voice_en_17899909,Please shut the door.,8.0419,1.9200,4.1883,,,,6.8531,2,40320,True,
common_voice_en_17920116-common_voice_en_17920112,Appearances are deceptive.,8.1390,2.4800,3.2818,,,,6.4851,2,40320,True,
common_voice_en_17986345-common_voice_en_17986347,"Fine, what makes you think I'd answer you truthfully?",10.9993,4.5200,2.4334,,,,6.1252,3,40320,True,
common_voice_en_18012457-common_voice_en_18012447,One of the world's biggest problems is the growth of the hum,11.0345,4.4400,2.4852,,,,5.7100,3,40320,True,
common_voice_en_18012457-common_voice_en_18012464,"Since I've gotten a dog, the regular visits of the fox have ",10.7743,4.7200,2.2826,,,,5.1120,3,40320,True,
common_voice_en_18057869-common_voice_en_18057867,"Wrapped in a scarf and blinded by the blizzard, the boy scra",10.5766,5.5200,1.9160,,,,4.5373,3,40320,True,
common_voice_en_18070362-common_voice_en_18070351,The hinge on the door creaked with old age.,10.8028,3.4800,3.1042,,,,4.1908,3,40320,True,
common_voice_en_18105426-common_voice_en_18105428,Will no one go?,5.5139,1.9600,2.8131,,,,3.5565,2,40320,True,
common_voice_en_18105426-common_voice_en_18105430,"Real schools, secondary schools giving a general practical e",10.2192,5.4400,1.8785,,,,3.2113,3,40320,True,
common_voice_en_18177486-common_voice_en_18177492,Persuasion is better than force.,5.1250,2.5600,2.0019,,,,2.6512,2,40320,True,
common_voice_en_18177486-common_voice_en_18177499,The dictator was radical in his ideology.,9.4507,3.7200,2.5404,,,,1.8889,3,40320,True,
common_voice_en_18187914-common_voice_en_18188853,A bus shuttle took us from the airport to the metro.,9.3636,4.1600,2.2508,,,,1.4671,3,40320,True,
common_voice_en_18200641-common_voice_en_18200765,"Mrs. Travis, when I leave my kids in kindergarten, I expect ",9.1521,5.6800,1.6112,,,,1.1218,3,40320,True,
common_voice_en_18200641-common_voice_en_18200790,"After I had finished the first batch of papers, I was gettin",8.7786,4.6400,1.8919,,,,1.7485,3,40320,True,
common_voice_en_182275-common_voice_en_182276,Those gangsters get what they deserve.,7.4384,2.6400,2.8175,,,,1.2835,2,40320,True,
common_voice_en_18229682-common_voice_en_18229679,Rated M for mature.,7.5106,2.5600,2.9337,,,,0.9783,2,40320,True,
common_voice_en_18229682-common_voice_en_18229695,The course of love never did run smooth.,12.0167,3.6000,3.3379,,,,8.2822,3,40320,True,
common_voice_en_18234333-common_voice_en_18234353,Also there was a decrease in trade interest between east and,11.6322,4.5200,2.5734,,,,7.5203,3,40320,True,
common_voice_en_18240348-common_voice_en_18240305,The Tropic of Capricorn is in the Southern Hemisphere.,11.7628,3.5200,3.3416,,,,7.1892,3,40320,True,
common_voice_en_18313326-common_voice_en_18313324,It seemed the ordained order of things that dogs should work,11.5296,4.6400,2.4848,,,,6.4360,3,40320,True,
common_voice_en_18313326-common_voice_en_18313328,Every Monday I have to catch the train into work,11.3965,3.8800,2.9372,,,,5.8832,3,40320,True,
common_voice_en_18336410-common_voice_en_18336411,"She obeyed, shrinking back with the baby in her arms.",11.3146,3.3200,3.4079,,,,5.4330,3,40320,True,
common_voice_en_18336410-common_voice_en_18336421,The questionnaire is too simplistic.,6.2134,2.3600,2.6327,,,,5.0973,2,40320,True,
common_voice_en_18338543-common_voice_en_18338546,"The history of the eighteenth century is written, Ernest pro",11.3266,4.2800,2.6463,,,,4.7204,3,40320,True,
common_voice_en_18436934-common_voice_en_18436935,"Biotechnology, or Biotech, is a very popular degree choice",13.0784,7.2800,1.7964,,,,4.1477,4,40320,True,
common_voice_en_18466098-common_voice_en_18466096,Catch as catch can.,5.3336,2.9200,1.8265,,,,3.7516,2,40320,True,
common_voice_en_18466098-common_voice_en_18466097,Not a thing.,5.3390,1.4000,3.8134,,,,3.1976,2,40320,True,
common_voice_en_18485041-common_voice_en_18485042,My mother has rheumatoid arthritis.,5.3736,3.0000,1.7911,,,,2.8631,2,40320,True,
common_voice_en_18500600-common_voice_en_18500603,The author is a blogger and social media phenomenon.,9.8762,3.6000,2.7433,,,,2.4893,3,40320,True,
common_voice_en_18522556-common_voice_en_18522557,"Any tutting that's required, I'll attend to myself.",4.8928,3.0800,1.5885,,,,1.6693,2,40320,True,
common_voice_en_18529345-common_voice_en_18529360,And then a thing incomprehensible to her happened.,9.0388,3.5200,2.5677,,,,1.2920,3,40320,True,
common_voice_en_18529345-common_voice_en_18529361,Dynamic Link Libraries are reusable modules of windows softw,9.1286,4.4400,2.0559,,,,1.0424,3,40320,True,
common_voice_en_18533403-common_voice_en_18533404,Increment the order quantity if you require more than one it,10.5783,6.6800,1.5835,,,,8.7857,3,40320,True,
common_voice_en_18545637-common_voice_en_18545639,She searched in vain for a familiar face.,11.2708,3.1600,3.5666,,,,8.3194,3,40320,True,
common_voice_en_18554437-common_voice_en_18554439,Can't you see the scene? he asked with a queer smile of exci,11.0943,5.4000,2.0544,,,,7.7600,3,40320,True,
common_voice_en_18557077-common_voice_en_18557074,This app is not ready for everyday use.,11.2335,4.3600,2.5764,,,,7.3911,3,40320,True,
common_voice_en_18557077-common_voice_en_18557192,He soon afterwards appeared and made us merry for an hour.,11.1066,4.7600,2.3332,,,,6.6780,3,40320,True,
common_voice_en_18575865-common_voice_en_18575863,Only it must remain a secret between you and me.,11.1030,3.1200,3.5585,,,,6.1740,3,40320,True,
common_voice_en_18575865-common_voice_en_18575864,"‘It gets easier further on,’ Humpty Dumpty replied.",11.2126,4.0000,2.8031,,,,5.7966,3,40320,True,
common_voice_en_18647546-common_voice_en_18647545,"There, and through it all, my dear physician was a hero.",11.1400,4.5200,2.4645,,,,5.3350,3,40320,True,
common_voice_en_18647546-common_voice_en_18647550,"Indeed, he came in and turned our conversation.",6.0345,2.5600,2.3571,,,,4.8150,2,40320,True,
common_voice_en_18672480-common_voice_en_18672484,"In testimony to investigators, the page described the relati",15.8416,7.2400,2.1880,,,,4.3952,4,40320,True,
common_voice_en_18681919-common_voice_en_18681920,"Moreover, because none of the neighbors remember her, they c",10.7736,6.0000,1.7955,,,,4.0268,3,40320,True,
common_voice_en_18693241-common_voice_en_18693240,This paper discusses the power of the Senate to try impeachm,10.3900,4.9200,2.1117,,,,3.2999,3,40320,True,
common_voice_en_18699078-common_voice_en_18699081,The national monument surrounds the Castle Mountain Mine Are,10.3246,4.4000,2.3464,,,,2.5189,3,40320,True,
common_voice_en_18699078-common_voice_en_18699082,"Using his engineering knowledge, Gallagher studied leverage,",10.5862,6.6000,1.6039,,,,2.1590,3,40320,True,
common_voice_en_18707936-common_voice_en_18707937,"Smith is too shocked by Paine's betrayal to defend himself, ",10.4214,5.3600,1.9442,,,,1.5716,3,40320,True,
common_voice_en_18710640-common_voice_en_18710642,All episodes following the pilot were directed by David Trai,10.4237,6.7600,1.5419,,,,1.2297,3,40320,True,
common_voice_en_18735317-common_voice_en_18735316,Tao uses his song as weapon to bitterly criticize terrorists,8.9728,4.5200,1.9850,,,,1.1090,3,40320,True,
common_voice_en_18735317-common_voice_en_18735372,"After a routine departure, the airliner experiences sporadic",8.7581,6.2000,1.4125,,,,0.8027,3,40320,True,
common_voice_en_18746637-common_voice_en_18746638,"When the coup failed, the young army officers were executed.",10.8583,3.8400,2.8276,,,,9.4029,3,40320,True,
common_voice_en_18746637-common_voice_en_18746639,The nest is a flimsy platform of sticks is built by both sex,10.9710,4.9200,2.2298,,,,9.0202,3,40320,True,
common_voice_en_18754308-common_voice_en_18754311,Dopamine neurons have axons that run the entire length of th,11.6879,6.2400,1.8730,,,,8.5118,3,40320,True,
common_voice_en_18754308-common_voice_en_18754312,"In addition, Manheim has several film credits.",11.4650,4.4000,2.6056,,,,7.9265,3,40320,True,
common_voice_en_18757805-common_voice_en_18757804,He was a senior fellow at the time of his death in London.,11.5537,4.4400,2.6021,,,,7.4231,3,40320,True,
common_voice_en_18770703-common_voice_en_18770702,"Davies started planning a second series for ""Dark Season"" th",11.4180,5.1600,2.2127,,,,6.9361,3,40320,True,
common_voice_en_18770703-common_voice_en_18770704,"Smiley Township was named for William C. Smiley, a county of",11.5908,4.8800,2.3751,,,,6.5470,3,40320,True,
common_voice_en_18781918-common_voice_en_18781919,"In California, the extension was not granted and followed th",11.0292,5.1600,2.1374,,,,5.6050,3,40320,True,
common_voice_en_18786931-common_voice_en_18786930,"Immediately following the demerger, Williams Holdings launch",11.5255,5.8400,1.9735,,,,5.2617,3,40320,True,
common_voice_en_18786931-common_voice_en_18786946,A judge later found that Harrison had unintentionally plagia,11.3272,5.9600,1.9005,,,,4.5459,3,40320,True,
common_voice_en_188092-common_voice_en_188091,"I make my living forecasting the future for people, he said.",11.0904,4.2800,2.5911,,,,3.9247,3,40320,True,
common_voice_en_188092-common_voice_en_188093,He also tried to remember some good stories to relate as he ,11.1509,4.6000,2.4240,,,,3.5025,3,40320,True,
common_voice_en_18828571-common_voice_en_18828573,His career took a significant turn in these years.,11.1856,3.6800,3.0395,,,,2.9046,3,40320,True,
common_voice_en_18829843-common_voice_en_18829841,"Because of wartime secrecy, he had not been aware of the rea",10.9891,5.9200,1.8562,,,,2.1611,3,40320,True,
common_voice_en_18829843-common_voice_en_18829842,"Stepping outside, he encounters four rich frat boys burning ",13.2936,7.8400,1.6955,,,,1.8068,4,40320,True,
common_voice_en_18852076-common_voice_en_18852077,This prevents the rider and the tube itself from dragging on,10.4953,5.2000,2.0183,,,,1.1660,3,40320,True,
common_voice_en_18852076-common_voice_en_18852085,"The ""Sacred Bridge"" program continues to tour internationall",8.9869,4.8800,1.8415,,,,0.8587,3,40320,True,
common_voice_en_18877786-common_voice_en_18877788,"It borders five other Kent districts, as well as East Sussex",9.0056,6.0000,1.5009,,,,0.8271,3,40320,True,
common_voice_en_18889688-common_voice_en_18889686,Bender also conducted extensive research on autism.,10.5018,5.2800,1.9889,,,,9.1742,3,40320,True,
common_voice_en_18889688-common_voice_en_18889687,"In terms of its natural environment, Lleida offers a wide va",10.6260,6.7600,1.5718,,,,8.8110,3,40320,True,
